size,time,threads
10000,0.874990,1
20000,1.686700,1
40000,3.324800,1
60000,5.059600,1
80000,6.716900,1
100000,8.391000,1
200000,16.820000,1
300000,25.973000,1
370103,31.784000,1
10000,0.871400,2
20000,1.644100,2
40000,3.208400,2
60000,4.796200,2
80000,6.369900,2
100000,8.017900,2
200000,15.978000,2
300000,24.269000,2
370103,29.677000,2
10000,1.024900,4
20000,1.750600,4
40000,3.041400,4
60000,4.453200,4
80000,5.758200,4
100000,7.147200,4
200000,14.021000,4
300000,20.987000,4
370103,25.987000,4
10000,0.961640,8
20000,1.840300,8
40000,3.591800,8
60000,5.030200,8
80000,6.397800,8
100000,7.776400,8
200000,14.948000,8
300000,21.855000,8
370103,26.884000,8
