size,time,threads
10000,0.592470,1
20000,1.152800,1
40000,2.288300,1
60000,3.399800,1
80000,4.537800,1
100000,5.644500,1
200000,11.728000,1
300000,18.600000,1
370103,24.347000,1
10000,0.331540,2
20000,0.661680,2
40000,1.276300,2
60000,1.907600,2
80000,2.546800,2
100000,3.169400,2
200000,6.603900,2
300000,11.154000,2
370103,15.092000,2
10000,0.304050,4
20000,0.529280,4
40000,0.917670,4
60000,1.356500,4
80000,1.750300,4
100000,2.205400,4
200000,4.527200,4
300000,6.952700,4
370103,11.969000,4
10000,0.309100,8
20000,0.492580,8
40000,0.817110,8
60000,1.135600,8
80000,1.455200,8
100000,1.774700,8
200000,3.626300,8
300000,5.813000,8
370103,9.589200,8
