size,time,threads
10000,0.242770,1
20000,0.488380,1
40000,0.995490,1
60000,1.536300,1
80000,2.010000,1
100000,2.549600,1
200000,5.126300,1
300000,7.585200,1
370103,9.507300,1
10000,0.575380,2
20000,1.053500,2
40000,1.874400,2
60000,2.740500,2
80000,3.559300,2
100000,4.448900,2
200000,8.695700,2
300000,12.965000,2
370103,15.947000,2
10000,0.531010,4
20000,0.885510,4
40000,1.494700,4
60000,2.047400,4
80000,2.644900,4
100000,3.134400,4
200000,5.663000,4
300000,8.322000,4
370103,10.285000,4
10000,0.992340,8
20000,1.544100,8
40000,2.467900,8
60000,3.230200,8
80000,4.077200,8
100000,4.689600,8
200000,8.123600,8
300000,11.607000,8
370103,13.719000,8
