size,time,threads
10000,0.150240,1
20000,0.299700,1
40000,0.594020,1
60000,0.867170,1
80000,1.192300,1
100000,1.476200,1
200000,3.773200,1
300000,7.132800,1
370103,8.693700,1
10000,0.104360,2
20000,0.227740,2
40000,0.414270,2
60000,0.602990,2
80000,0.808770,2
100000,0.986230,2
200000,2.753000,2
300000,4.576500,2
370103,8.272000,2
10000,0.116340,4
20000,0.197690,4
40000,0.368980,4
60000,0.536030,4
80000,0.695710,4
100000,0.854430,4
200000,1.835400,4
300000,3.353400,4
370103,6.695000,4
10000,0.142870,8
20000,0.220100,8
40000,0.370360,8
60000,0.508810,8
80000,0.657740,8
100000,0.808440,8
200000,1.714500,8
300000,3.246600,8
370103,6.458800,8
