size,time,threads
10000,0.692430,1
20000,1.321600,1
40000,2.563700,1
60000,3.861600,1
80000,5.128600,1
100000,6.433000,1
200000,12.740000,1
300000,19.414000,1
370103,23.854000,1
10000,0.543900,2
20000,0.919620,2
40000,1.566600,2
60000,2.261000,2
80000,2.915300,2
100000,3.621200,2
200000,7.049300,2
300000,10.451000,2
370103,13.030000,2
10000,0.636960,4
20000,0.973350,4
40000,1.539200,4
60000,1.979300,4
80000,2.554100,4
100000,2.953500,4
200000,4.812400,4
300000,6.697900,4
370103,7.680800,4
10000,0.604260,8
20000,0.879030,8
40000,1.371200,8
60000,1.849900,8
80000,2.416500,8
100000,2.650500,8
200000,4.067000,8
300000,5.814700,8
370103,7.142400,8
