size,time,threads
10000,0.718720,1
20000,1.390500,1
40000,2.664800,1
60000,4.061300,1
80000,5.350600,1
100000,6.722600,1
200000,13.364000,1
300000,20.125000,1
370103,24.908000,1
10000,0.597950,2
20000,1.006000,2
40000,1.702800,2
60000,2.479300,2
80000,3.194800,2
100000,3.936300,2
200000,7.626000,2
300000,11.236000,2
370103,13.959000,2
10000,0.693910,4
20000,1.064900,4
40000,1.684700,4
60000,2.166500,4
80000,2.767000,4
100000,3.238900,4
200000,5.505500,4
300000,7.664200,4
370103,9.153400,4
10000,0.629740,8
20000,0.953540,8
40000,1.574800,8
60000,2.088300,8
80000,2.632900,8
100000,2.916300,8
200000,4.758500,8
300000,6.566400,8
370103,7.796000,8
