size,time,threads
10,0.000307,1
20,0.000457,1
40,0.000830,1
60,0.001132,1
80,0.001510,1
100,0.001816,1
200,0.003467,1
400,0.006617,1
600,0.009845,1
800,0.012913,1
1000,0.016008,1
2000,0.031674,1
4000,0.062918,1
6000,0.094106,1
8000,0.123990,1
10000,0.156050,1
20000,0.310310,1
40000,0.621090,1
10,0.004298,2
20,0.005639,2
40,0.008717,2
60,0.009274,2
80,0.010368,2
100,0.011991,2
200,0.016233,2
400,0.020771,2
600,0.025377,2
800,0.027893,2
1000,0.029671,2
2000,0.049646,2
4000,0.074317,2
6000,0.117670,2
8000,0.123260,2
10000,0.198900,2
20000,0.300150,2
40000,0.493920,2
10,0.005385,4
20,0.007218,4
40,0.010984,4
60,0.012863,4
80,0.014962,4
100,0.016910,4
200,0.022093,4
400,0.028830,4
600,0.034972,4
800,0.037172,4
1000,0.039983,4
2000,0.067468,4
4000,0.107070,4
6000,0.146420,4
8000,0.158570,4
10000,0.202670,4
20000,0.318310,4
40000,0.525900,4
10,0.010351,8
20,0.014322,8
40,0.023606,8
60,0.033085,8
80,0.034990,8
100,0.047407,8
200,0.060428,8
400,0.074001,8
600,0.092330,8
800,0.096406,8
1000,0.106680,8
2000,0.154530,8
4000,0.220120,8
6000,0.287590,8
8000,0.314950,8
10000,0.389520,8
20000,0.547290,8
40000,0.828460,8
