size,time,threads
10,0.000171,1
20,0.000426,1
40,0.000623,1
60,0.000776,1
80,0.001015,1
100,0.001176,1
200,0.002060,1
400,0.003853,1
600,0.005603,1
800,0.007263,1
1000,0.008953,1
2000,0.017640,1
4000,0.034227,1
6000,0.050740,1
8000,0.066900,1
10000,0.084188,1
20000,0.169640,1
40000,0.333230,1
10,0.002236,2
20,0.003676,2
40,0.005685,2
60,0.007172,2
80,0.008463,2
100,0.009139,2
200,0.012460,2
400,0.018457,2
600,0.025785,2
800,0.027934,2
1000,0.028950,2
2000,0.037978,2
4000,0.040706,2
6000,0.055654,2
8000,0.071691,2
10000,0.088706,2
20000,0.169140,2
40000,0.325390,2
10,0.003245,4
20,0.004207,4
40,0.006072,4
60,0.007665,4
80,0.009048,4
100,0.010209,4
200,0.015463,4
400,0.023267,4
600,0.031982,4
800,0.035281,4
1000,0.037982,4
2000,0.053710,4
4000,0.076062,4
6000,0.107820,4
8000,0.113990,4
10000,0.141120,4
20000,0.207310,4
40000,0.310630,4
10,0.006920,8
20,0.009693,8
40,0.013124,8
60,0.014765,8
80,0.017938,8
100,0.021056,8
200,0.033043,8
400,0.043258,8
600,0.054802,8
800,0.062014,8
1000,0.071209,8
2000,0.088785,8
4000,0.133000,8
6000,0.164980,8
8000,0.174140,8
10000,0.205150,8
20000,0.300840,8
40000,0.445270,8
