size,time,threads
10,0.000605,1
20,0.001021,1
40,0.001316,1
60,0.002126,1
80,0.002635,1
100,0.003013,1
200,0.005645,1
400,0.010940,1
600,0.016235,1
800,0.021081,1
1000,0.026363,1
2000,0.053714,1
4000,0.106470,1
6000,0.159930,1
8000,0.212820,1
10000,0.266110,1
20000,0.531720,1
40000,1.080700,1
10,0.006774,2
20,0.009105,2
40,0.013379,2
60,0.015259,2
80,0.019016,2
100,0.020763,2
200,0.029788,2
400,0.042514,2
600,0.058013,2
800,0.064586,2
1000,0.076191,2
2000,0.119980,2
4000,0.193950,2
6000,0.266650,2
8000,0.325210,2
10000,0.388100,2
20000,0.662240,2
40000,1.107800,2
10,0.006817,4
20,0.009342,4
40,0.014762,4
60,0.017774,4
80,0.023885,4
100,0.026931,4
200,0.037088,4
400,0.049052,4
600,0.065227,4
800,0.071745,4
1000,0.084899,4
2000,0.133200,4
4000,0.200780,4
6000,0.252660,4
8000,0.294780,4
10000,0.346470,4
20000,0.558030,4
40000,0.950220,4
10,0.012720,8
20,0.016892,8
40,0.029601,8
60,0.034990,8
80,0.049233,8
100,0.059023,8
200,0.092027,8
400,0.128960,8
600,0.167070,8
800,0.183180,8
1000,0.213890,8
2000,0.298690,8
4000,0.464510,8
6000,0.570870,8
8000,0.682470,8
10000,0.787800,8
20000,1.163300,8
40000,1.742400,8
