size,time,threads
10000,0.068652,1
20000,0.115060,1
40000,0.222440,1
60000,0.387610,1
80000,0.440200,1
100000,0.638140,1
200000,1.241400,1
300000,1.773900,1
370103,2.323100,1
10000,0.115050,2
20000,0.236840,2
40000,0.477350,2
60000,0.732140,2
80000,1.038500,2
100000,1.315400,2
200000,2.725700,2
300000,5.579400,2
370103,6.801600,2
10000,0.210470,4
20000,0.325510,4
40000,0.536680,4
60000,0.728030,4
80000,1.040100,4
100000,1.328900,4
200000,2.887600,4
300000,5.215300,4
370103,6.353200,4
10000,0.299620,8
20000,0.470910,8
40000,0.762620,8
60000,0.990910,8
80000,1.287200,8
100000,1.573700,8
200000,3.074700,8
300000,5.443300,8
370103,6.798100,8
