size,time,threads
10000,0.240570,1
20000,0.473910,1
40000,1.034300,1
60000,1.372000,1
80000,1.959300,1
100000,2.333800,1
200000,5.026100,1
300000,8.066100,1
370103,9.102500,1
10000,0.316350,2
20000,0.529780,2
40000,0.950830,2
60000,1.372600,2
80000,1.794600,2
100000,2.204700,2
200000,4.358800,2
300000,6.583400,2
370103,8.120600,2
10000,0.298730,4
20000,0.496360,4
40000,0.825610,4
60000,1.075500,4
80000,1.401900,4
100000,1.688600,4
200000,3.058400,4
300000,4.660000,4
370103,5.578200,4
10000,0.473880,8
20000,0.738390,8
40000,1.177200,8
60000,1.508700,8
80000,2.039700,8
100000,2.393000,8
200000,4.341400,8
300000,6.498500,8
370103,7.837400,8
