size,time,threads
10000,0.243090,1
20000,0.488950,1
40000,0.997780,1
60000,1.538000,1
80000,2.010300,1
100000,2.547300,1
200000,5.129200,1
300000,7.593100,1
370103,9.502700,1
10000,0.859460,2
20000,1.714600,2
40000,3.399500,2
60000,5.096000,2
80000,6.767700,2
100000,8.451700,2
200000,16.825000,2
300000,25.307000,2
370103,31.279000,2
10000,0.902730,4
20000,1.642500,4
40000,3.033300,4
60000,4.403100,4
80000,5.776200,4
100000,7.150800,4
200000,13.972000,4
300000,20.901000,4
370103,25.749000,4
10000,1.307900,8
20000,2.368200,8
40000,4.204700,8
60000,6.229000,8
80000,8.172700,8
100000,10.101000,8
200000,19.133000,8
300000,27.916000,8
370103,33.733000,8
