size,time,threads
20,0.003981,1
40,0.006157,1
60,0.007376,1
80,0.009947,1
100,0.011495,1
200,0.017360,1
400,0.028897,1
600,0.040357,1
800,0.051604,1
1000,0.062812,1
2000,0.119730,1
4000,0.224380,1
6000,0.328920,1
8000,0.407330,1
10000,0.526410,1
20000,1.023400,1
40000,2.018100,1
60000,3.085700,1
20,0.013537,2
40,0.020070,2
60,0.023094,2
80,0.030170,2
100,0.033285,2
200,0.046222,2
400,0.068466,2
600,0.088293,2
800,0.100650,2
1000,0.112320,2
2000,0.183660,2
4000,0.302140,2
6000,0.407610,2
8000,0.493060,2
10000,0.577790,2
20000,0.960140,2
40000,1.604000,2
60000,2.277600,2
20,0.015427,4
40,0.026449,4
60,0.032804,4
80,0.042697,4
100,0.052056,4
200,0.067212,4
400,0.089969,4
600,0.116500,4
800,0.130590,4
1000,0.146440,4
2000,0.237740,4
4000,0.368980,4
6000,0.492160,4
8000,0.580920,4
10000,0.693610,4
20000,1.079000,4
40000,1.771600,4
60000,2.393800,4
20,0.015930,8
40,0.025818,8
60,0.033438,8
80,0.044368,8
100,0.054449,8
200,0.087114,8
400,0.122800,8
600,0.147250,8
800,0.166740,8
1000,0.187720,8
2000,0.274080,8
4000,0.420200,8
6000,0.539910,8
8000,0.620100,8
10000,0.740070,8
20000,1.150100,8
40000,1.853600,8
60000,2.413300,8
