size,time,threads
20,0.003433,1
40,0.005230,1
60,0.006518,1
80,0.007843,1
100,0.009849,1
200,0.016355,1
400,0.029104,1
600,0.041804,1
800,0.054690,1
1000,0.066918,1
2000,0.131010,1
4000,0.262590,1
6000,0.392700,1
8000,0.519780,1
10000,0.649970,1
20000,1.307800,1
40000,2.632000,1
60000,3.963300,1
20,0.011782,2
40,0.017219,2
60,0.020119,2
80,0.024540,2
100,0.027849,2
200,0.039545,2
400,0.060142,2
600,0.077194,2
800,0.095321,2
1000,0.112570,2
2000,0.203660,2
4000,0.364890,2
6000,0.524550,2
8000,0.660120,2
10000,0.812640,2
20000,1.544500,2
40000,2.973900,2
60000,4.494100,2
20,0.013210,4
40,0.022581,4
60,0.028382,4
80,0.035355,4
100,0.039147,4
200,0.055956,4
400,0.079569,4
600,0.101840,4
800,0.124210,4
1000,0.142250,4
2000,0.246970,4
4000,0.452510,4
6000,0.637540,4
8000,0.803850,4
10000,0.974810,4
20000,1.664300,4
40000,3.078500,4
60000,4.452600,4
20,0.015141,8
40,0.021786,8
60,0.028464,8
80,0.035055,8
100,0.040654,8
200,0.066111,8
400,0.101070,8
600,0.128860,8
800,0.152790,8
1000,0.176310,8
2000,0.288640,8
4000,0.471750,8
6000,0.684650,8
8000,0.838390,8
10000,1.001300,8
20000,1.768300,8
40000,3.282700,8
60000,4.841400,8
