size,time,threads
20,0.001629,1
40,0.002075,1
60,0.002229,1
80,0.002467,1
100,0.002514,1
200,0.002872,1
400,0.003732,1
600,0.005145,1
800,0.006261,1
1000,0.007210,1
2000,0.012312,1
4000,0.022682,1
6000,0.033748,1
8000,0.044296,1
10000,0.114170,1
20000,0.216610,1
40000,0.314130,1
60000,0.342920,1
20,0.005602,2
40,0.007196,2
60,0.008342,2
80,0.009824,2
100,0.010513,2
200,0.013076,2
400,0.015844,2
600,0.018370,2
800,0.019693,2
1000,0.020455,2
2000,0.024964,2
4000,0.034340,2
6000,0.044130,2
8000,0.049868,2
10000,0.060823,2
20000,0.098308,2
40000,0.175480,2
60000,0.250570,2
20,0.006496,4
40,0.009899,4
60,0.011749,4
80,0.013942,4
100,0.015589,4
200,0.020704,4
400,0.026377,4
600,0.031086,4
800,0.033484,4
1000,0.033966,4
2000,0.041918,4
4000,0.053813,4
6000,0.064595,4
8000,0.070600,4
10000,0.081048,4
20000,0.119090,4
40000,0.182810,4
60000,0.229980,4
20,0.008255,8
40,0.011829,8
60,0.013486,8
80,0.016043,8
100,0.017638,8
200,0.025350,8
400,0.035186,8
600,0.042591,8
800,0.047203,8
1000,0.048202,8
2000,0.062633,8
4000,0.077078,8
6000,0.094812,8
8000,0.096835,8
10000,0.115680,8
20000,0.148710,8
40000,0.214380,8
60000,0.246580,8
