size,time,threads
20,0.003272,1
40,0.005211,1
60,0.006328,1
80,0.009048,1
100,0.010541,1
200,0.016522,1
400,0.027838,1
600,0.038953,1
800,0.050223,1
1000,0.061492,1
2000,0.120990,1
4000,0.222010,1
6000,0.321850,1
8000,0.402640,1
10000,0.519960,1
20000,1.017900,1
40000,2.012000,1
60000,3.013100,1
20,0.010876,2
40,0.016342,2
60,0.019038,2
80,0.025018,2
100,0.027498,2
200,0.039777,2
400,0.059846,2
600,0.078991,2
800,0.089726,2
1000,0.102260,2
2000,0.171820,2
4000,0.288650,2
6000,0.388090,2
8000,0.468020,2
10000,0.556210,2
20000,0.936780,2
40000,1.581300,2
60000,2.254500,2
20,0.012921,4
40,0.021655,4
60,0.026654,4
80,0.036099,4
100,0.041697,4
200,0.055678,4
400,0.076307,4
600,0.100880,4
800,0.114780,4
1000,0.128590,4
2000,0.215050,4
4000,0.349960,4
6000,0.466360,4
8000,0.557160,4
10000,0.663760,4
20000,1.042300,4
40000,1.749500,4
60000,2.336400,4
20,0.014668,8
40,0.021110,8
60,0.026501,8
80,0.036610,8
100,0.042640,8
200,0.068430,8
400,0.099900,8
600,0.125960,8
800,0.140470,8
1000,0.157600,8
2000,0.240830,8
4000,0.374300,8
6000,0.485810,8
8000,0.573380,8
10000,0.688230,8
20000,1.088300,8
40000,1.746000,8
60000,2.332100,8
