size,time,threads
10,0.000567,1
20,0.001006,1
40,0.001393,1
60,0.002340,1
80,0.002742,1
100,0.003412,1
200,0.007663,1
400,0.013665,1
600,0.020123,1
800,0.026969,1
1000,0.033400,1
2000,0.063970,1
4000,0.148140,1
6000,0.209470,1
8000,0.282650,1
10000,0.364500,1
20000,0.972890,1
40000,1.500600,1
10,0.007518,2
20,0.009641,2
40,0.014792,2
60,0.015286,2
80,0.021499,2
100,0.025051,2
200,0.038809,2
400,0.058947,2
600,0.078457,2
800,0.085885,2
1000,0.105580,2
2000,0.193610,2
4000,0.311450,2
6000,0.413130,2
8000,0.472570,2
10000,0.566080,2
20000,0.938010,2
40000,1.933000,2
10,0.008428,4
20,0.011787,4
40,0.017652,4
60,0.022439,4
80,0.029658,4
100,0.029026,4
200,0.040368,4
400,0.057446,4
600,0.080473,4
800,0.089860,4
1000,0.104100,4
2000,0.190400,4
4000,0.297990,4
6000,0.404600,4
8000,0.479960,4
10000,0.586250,4
20000,0.931780,4
40000,1.546900,4
10,0.008608,8
20,0.011326,8
40,0.016275,8
60,0.019414,8
80,0.028087,8
100,0.032948,8
200,0.052881,8
400,0.078623,8
600,0.100830,8
800,0.113970,8
1000,0.128590,8
2000,0.209030,8
4000,0.337560,8
6000,0.505580,8
8000,0.523070,8
10000,0.671880,8
20000,1.061300,8
40000,1.673600,8
