size,time,threads
10,0.000606,1
20,0.001021,1
40,0.001316,1
60,0.002123,1
80,0.002634,1
100,0.003012,1
200,0.005652,1
400,0.010931,1
600,0.016212,1
800,0.021014,1
1000,0.026338,1
2000,0.053639,1
4000,0.106460,1
6000,0.159950,1
8000,0.212790,1
10000,0.266290,1
20000,0.531540,1
40000,1.081300,1
10,0.007173,2
20,0.009631,2
40,0.014200,2
60,0.016762,2
80,0.019271,2
100,0.021193,2
200,0.029394,2
400,0.041804,2
600,0.053993,2
800,0.066458,2
1000,0.078539,2
2000,0.142990,2
4000,0.271530,2
6000,0.403670,2
8000,0.527050,2
10000,0.654020,2
20000,1.258000,2
40000,2.564000,2
10,0.007001,4
20,0.009912,4
40,0.015641,4
60,0.019264,4
80,0.023728,4
100,0.026516,4
200,0.036960,4
400,0.050310,4
600,0.065861,4
800,0.075847,4
1000,0.087004,4
2000,0.151290,4
4000,0.291990,4
6000,0.450850,4
8000,0.587070,4
10000,0.743340,4
20000,1.366700,4
40000,2.664500,4
10,0.014148,8
20,0.020439,8
40,0.032330,8
60,0.036844,8
80,0.056969,8
100,0.055938,8
200,0.087999,8
400,0.123100,8
600,0.163980,8
800,0.180940,8
1000,0.225590,8
2000,0.346370,8
4000,0.550740,8
6000,0.742670,8
8000,0.914280,8
10000,1.124900,8
20000,2.019500,8
40000,3.695700,8
