size,time,threads
10,0.000596,1
20,0.001173,1
40,0.001559,1
60,0.002176,1
80,0.002754,1
100,0.003302,1
200,0.007428,1
400,0.012986,1
600,0.020305,1
800,0.026713,1
1000,0.033299,1
2000,0.065195,1
4000,0.135170,1
6000,0.193440,1
8000,0.269300,1
10000,0.486590,1
20000,0.725690,1
40000,1.418700,1
10,0.007869,2
20,0.010838,2
40,0.016063,2
60,0.018205,2
80,0.021918,2
100,0.023774,2
200,0.038978,2
400,0.062513,2
600,0.079197,2
800,0.093720,2
1000,0.119370,2
2000,0.228580,2
4000,0.409260,2
6000,0.565680,2
8000,0.758670,2
10000,0.919230,2
20000,1.747800,2
40000,3.511600,2
10,0.009827,4
20,0.012429,4
40,0.019016,4
60,0.022968,4
80,0.029391,4
100,0.028562,4
200,0.041185,4
400,0.060809,4
600,0.082531,4
800,0.102600,4
1000,0.119500,4
2000,0.211720,4
4000,0.417180,4
6000,0.601610,4
8000,0.774240,4
10000,0.933860,4
20000,1.626000,4
40000,3.005900,4
10,0.008740,8
20,0.011601,8
40,0.016758,8
60,0.020438,8
80,0.026991,8
100,0.031207,8
200,0.056206,8
400,0.082298,8
600,0.105340,8
800,0.124820,8
1000,0.147460,8
2000,0.253140,8
4000,0.435990,8
6000,0.714540,8
8000,0.900820,8
10000,1.004900,8
20000,1.880500,8
40000,3.146700,8
