size,time,threads
10000,0.081937,1
20000,0.239210,1
40000,0.384820,1
60000,0.523330,1
80000,1.064600,1
100000,1.217400,1
200000,2.135700,1
300000,3.050900,1
370103,3.606300,1
10000,0.171940,2
20000,0.209440,2
40000,0.391790,2
60000,0.571880,2
80000,1.037500,2
100000,1.043600,2
200000,2.656200,2
300000,3.337200,2
370103,3.384400,2
10000,0.110570,4
20000,0.155470,4
40000,0.265290,4
60000,0.356690,4
80000,0.468770,4
100000,0.592010,4
200000,1.090300,4
300000,1.905600,4
370103,2.038100,4
10000,0.163690,8
20000,0.200140,8
40000,0.288730,8
60000,0.356340,8
80000,0.481040,8
100000,0.543610,8
200000,0.991700,8
300000,1.702500,8
370103,2.136000,8
