size,time,threads
10000,0.137490,1
20000,0.271190,1
40000,0.644720,1
60000,0.888250,1
80000,1.096800,1
100000,1.490900,1
200000,3.048400,1
300000,4.635400,1
370103,5.724000,1
10000,0.396660,2
20000,0.772230,2
40000,1.564600,2
60000,2.332800,2
80000,2.939400,2
100000,3.687100,2
200000,7.411100,2
300000,11.000000,2
370103,13.223000,2
10000,0.278550,4
20000,0.483940,4
40000,0.936910,4
60000,1.360300,4
80000,1.770100,4
100000,2.163100,4
200000,4.216400,4
300000,6.236200,4
370103,7.686500,4
10000,0.259810,8
20000,0.432650,8
40000,0.771370,8
60000,1.071000,8
80000,1.413000,8
100000,1.788100,8
200000,3.317300,8
300000,4.471500,8
370103,5.903600,8
