size,time,threads
10000,0.057747,1
20000,0.150980,1
40000,0.293780,1
60000,0.409310,1
80000,1.019200,1
100000,1.262300,1
200000,2.118600,1
300000,2.806300,1
370103,3.433800,1
10000,0.153530,2
20000,0.318910,2
40000,0.432610,2
60000,0.768840,2
80000,1.322400,2
100000,1.086900,2
200000,2.735300,2
300000,4.504000,2
370103,4.020700,2
10000,0.062656,4
20000,0.126820,4
40000,0.264010,4
60000,0.303330,4
80000,0.414600,4
100000,0.537460,4
200000,1.011000,4
300000,1.682400,4
370103,2.049200,4
10000,0.081253,8
20000,0.119070,8
40000,0.224800,8
60000,0.260620,8
80000,0.267480,8
100000,0.365830,8
200000,0.671080,8
300000,1.275400,8
370103,1.477600,8
