size,time,threads
10000,0.144760,1
20000,0.283910,1
40000,0.641460,1
60000,0.906400,1
80000,1.146600,1
100000,1.520000,1
200000,3.098600,1
300000,4.815600,1
370103,5.861500,1
10000,0.518820,2
20000,1.041000,2
40000,2.046400,2
60000,3.072200,2
80000,4.188400,2
100000,4.959300,2
200000,9.995400,2
300000,15.852000,2
370103,18.755000,2
10000,0.475140,4
20000,0.866470,4
40000,1.590400,4
60000,2.361200,4
80000,3.106800,4
100000,3.865600,4
200000,7.642300,4
300000,11.481000,4
370103,14.272000,4
10000,0.453100,8
20000,0.822970,8
40000,1.485700,8
60000,2.148600,8
80000,2.836200,8
100000,3.580900,8
200000,7.297500,8
300000,10.455000,8
370103,12.878000,8
