size,time,threads
10000,0.092722,1
20000,0.185850,1
40000,0.371870,1
60000,0.566650,1
80000,0.751910,1
100000,0.961490,1
200000,1.950400,1
300000,2.970500,1
370103,3.675900,1
10000,0.410730,2
20000,0.802920,2
40000,1.618200,2
60000,2.424600,2
80000,3.216600,2
100000,4.007000,2
200000,8.077000,2
300000,12.188000,2
370103,15.045000,2
10000,0.344850,4
20000,0.686900,4
40000,1.375900,4
60000,2.002600,4
80000,2.616000,4
100000,3.209800,4
200000,6.271100,4
300000,9.424800,4
370103,11.630000,4
10000,0.679290,8
20000,1.127200,8
40000,1.987200,8
60000,2.916200,8
80000,3.766300,8
100000,4.603000,8
200000,8.576900,8
300000,12.559000,8
370103,15.217000,8
