size,time,threads
10000,0.037848,1
20000,0.075969,1
40000,0.138930,1
60000,0.205690,1
80000,0.273690,1
100000,0.357660,1
200000,0.705510,1
300000,1.141000,1
370103,1.404800,1
10000,0.040490,2
20000,0.077819,2
40000,0.147710,2
60000,0.213880,2
80000,0.279330,2
100000,0.359360,2
200000,0.695090,2
300000,1.054300,2
370103,1.311900,2
10000,0.037657,4
20000,0.061790,4
40000,0.104410,4
60000,0.140270,4
80000,0.178020,4
100000,0.219300,4
200000,0.401710,4
300000,0.595310,4
370103,0.720250,4
10000,0.160170,8
20000,0.215710,8
40000,0.292630,8
60000,0.369910,8
80000,0.414650,8
100000,0.538800,8
200000,0.809370,8
300000,1.094700,8
370103,1.232200,8
