size,time,threads
10000,0.039871,1
20000,0.080335,1
40000,0.148130,1
60000,0.219310,1
80000,0.292420,1
100000,0.380460,1
200000,0.751440,1
300000,1.208100,1
370103,1.489100,1
10000,0.059589,2
20000,0.108300,2
40000,0.209880,2
60000,0.310170,2
80000,0.417550,2
100000,0.525050,2
200000,1.075100,2
300000,1.683000,2
370103,2.124900,2
10000,0.066155,4
20000,0.102900,4
40000,0.175470,4
60000,0.245750,4
80000,0.336650,4
100000,0.406960,4
200000,0.899550,4
300000,1.465600,4
370103,1.811800,4
10000,0.221300,8
20000,0.285620,8
40000,0.465250,8
60000,0.596620,8
80000,0.791920,8
100000,0.883120,8
200000,1.470000,8
300000,2.214000,8
370103,2.641300,8
