size,time,threads
10000,0.091156,1
20000,0.182750,1
40000,0.365150,1
60000,0.556710,1
80000,0.738860,1
100000,0.943610,1
200000,1.917900,1
300000,2.922800,1
370103,3.618200,1
10000,0.301410,2
20000,0.585640,2
40000,1.137000,2
60000,1.691400,2
80000,2.266100,2
100000,2.856100,2
200000,5.623000,2
300000,8.476200,2
370103,10.399000,2
10000,0.210890,4
20000,0.361290,4
40000,0.675290,4
60000,0.933740,4
80000,1.218300,4
100000,1.502800,4
200000,2.908900,4
300000,4.372800,4
370103,5.366700,4
10000,0.523290,8
20000,0.773430,8
40000,1.179000,8
60000,1.513200,8
80000,1.861300,8
100000,2.207700,8
200000,3.877400,8
300000,5.538600,8
370103,6.686100,8
