size,time,threads
10,0.000114,1
20,0.000204,1
40,0.000274,1
60,0.000297,1
80,0.000371,1
100,0.000390,1
200,0.000562,1
400,0.000900,1
600,0.001187,1
800,0.001434,1
1000,0.001675,1
2000,0.002912,1
4000,0.005294,1
6000,0.007671,1
8000,0.009902,1
10000,0.012641,1
20000,0.024970,1
40000,0.048915,1
10,0.001629,2
20,0.002602,2
40,0.004055,2
60,0.005150,2
80,0.005688,2
100,0.006494,2
200,0.008945,2
400,0.012849,2
600,0.017619,2
800,0.018929,2
1000,0.020362,2
2000,0.028928,2
4000,0.032013,2
6000,0.044649,2
8000,0.056929,2
10000,0.071367,2
20000,0.136910,2
40000,0.259220,2
10,0.002562,4
20,0.003430,4
40,0.004671,4
60,0.005808,4
80,0.006550,4
100,0.007473,4
200,0.011058,4
400,0.016624,4
600,0.022203,4
800,0.024846,4
1000,0.028145,4
2000,0.041236,4
4000,0.061773,4
6000,0.078877,4
8000,0.086439,4
10000,0.108570,4
20000,0.161480,4
40000,0.247620,4
10,0.005280,8
20,0.007406,8
40,0.009689,8
60,0.011569,8
80,0.013324,8
100,0.015041,8
200,0.023376,8
400,0.034420,8
600,0.046133,8
800,0.053093,8
1000,0.048179,8
2000,0.066609,8
4000,0.092150,8
6000,0.127580,8
8000,0.140390,8
10000,0.169570,8
20000,0.246220,8
40000,0.368800,8
10,0.011880,16
20,0.016661,16
40,0.022180,16
60,0.027092,16
80,0.030927,16
100,0.035072,16
200,0.050898,16
400,0.075408,16
600,0.092108,16
800,0.108740,16
1000,0.122750,16
2000,0.176090,16
4000,0.258310,16
6000,0.327410,16
8000,0.373500,16
10000,0.500160,16
20000,0.780610,16
40000,1.231700,16
