size,time,threads
10,0.000114,1
20,0.000178,1
40,0.000355,1
60,0.000482,1
80,0.000624,1
100,0.000752,1
200,0.001467,1
400,0.002844,1
600,0.004231,1
800,0.005564,1
1000,0.006869,1
2000,0.013481,1
4000,0.026728,1
6000,0.039956,1
8000,0.053273,1
10000,0.067327,1
20000,0.132690,1
40000,0.265290,1
10,0.003584,2
20,0.004155,2
40,0.006322,2
60,0.007618,2
80,0.008128,2
100,0.008454,2
200,0.010847,2
400,0.014320,2
600,0.017206,2
800,0.018501,2
1000,0.019897,2
2000,0.029084,2
4000,0.051108,2
6000,0.074164,2
8000,0.084380,2
10000,0.118280,2
20000,0.215630,2
40000,0.396550,2
10,0.004171,4
20,0.005434,4
40,0.008372,4
60,0.009475,4
80,0.011378,4
100,0.011894,4
200,0.014735,4
400,0.019023,4
600,0.024006,4
800,0.025626,4
1000,0.026863,4
2000,0.036896,4
4000,0.062640,4
6000,0.097870,4
8000,0.107730,4
10000,0.147270,4
20000,0.226720,4
40000,0.350380,4
10,0.007848,8
20,0.011355,8
40,0.016698,8
60,0.021733,8
80,0.027906,8
100,0.030518,8
200,0.043860,8
400,0.056732,8
600,0.059386,8
800,0.066262,8
1000,0.071187,8
2000,0.091927,8
4000,0.143460,8
6000,0.193950,8
8000,0.217760,8
10000,0.272890,8
20000,0.403590,8
40000,0.608610,8
10,0.018766,16
20,0.026342,16
40,0.037086,16
60,0.048271,16
80,0.054753,16
100,0.063510,16
200,0.103330,16
400,0.142990,16
600,0.169330,16
800,0.193760,16
1000,0.213780,16
2000,0.304960,16
4000,0.519770,16
6000,0.704500,16
8000,0.800420,16
10000,0.994940,16
20000,1.615000,16
40000,2.177300,16
