size,time,threads
10,0.000481,1
20,0.000864,1
40,0.001362,1
60,0.002141,1
80,0.002742,1
100,0.003248,1
200,0.006456,1
400,0.012719,1
600,0.018973,1
800,0.025066,1
1000,0.031267,1
2000,0.063007,1
4000,0.125710,1
6000,0.188820,1
8000,0.251680,1
10000,0.314350,1
20000,0.630540,1
40000,1.266400,1
10,0.004696,2
20,0.006451,2
40,0.009115,2
60,0.011312,2
80,0.013349,2
100,0.014720,2
200,0.020491,2
400,0.029441,2
600,0.038210,2
800,0.047151,2
1000,0.055026,2
2000,0.099240,2
4000,0.181620,2
6000,0.267920,2
8000,0.349000,2
10000,0.429560,2
20000,0.857670,2
40000,1.740200,2
10,0.005395,4
20,0.007145,4
40,0.011004,4
60,0.013424,4
80,0.016154,4
100,0.018025,4
200,0.025704,4
400,0.035256,4
600,0.044024,4
800,0.050286,4
1000,0.057867,4
2000,0.097933,4
4000,0.168250,4
6000,0.245860,4
8000,0.323280,4
10000,0.417690,4
20000,0.839880,4
40000,1.618200,4
10,0.010268,8
20,0.013267,8
40,0.020530,8
60,0.028837,8
80,0.038271,8
100,0.046647,8
200,0.060239,8
400,0.089689,8
600,0.110010,8
800,0.127000,8
1000,0.141810,8
2000,0.219090,8
4000,0.341670,8
6000,0.467130,8
8000,0.597900,8
10000,0.708710,8
20000,1.243000,8
40000,2.301800,8
10,0.024192,16
20,0.032076,16
40,0.047554,16
60,0.062976,16
80,0.081659,16
100,0.092612,16
200,0.154420,16
400,0.234280,16
600,0.293800,16
800,0.333170,16
1000,0.377450,16
2000,0.552390,16
4000,0.891690,16
6000,1.223600,16
8000,1.513200,16
10000,1.860100,16
20000,3.333200,16
40000,5.995800,16
