size,time,threads
10,0.000481,1
20,0.000863,1
40,0.001362,1
60,0.002135,1
80,0.002741,1
100,0.003251,1
200,0.006458,1
400,0.012720,1
600,0.018987,1
800,0.027758,1
1000,0.031310,1
2000,0.063108,1
4000,0.125840,1
6000,0.188860,1
8000,0.251750,1
10000,0.314770,1
20000,0.630500,1
40000,1.268200,1
10,0.004355,2
20,0.006072,2
40,0.008516,2
60,0.010401,2
80,0.012200,2
100,0.013552,2
200,0.019031,2
400,0.028024,2
600,0.036687,2
800,0.043610,2
1000,0.050380,2
2000,0.085918,2
4000,0.146580,2
6000,0.202740,2
8000,0.257220,2
10000,0.313110,2
20000,0.576710,2
40000,1.076800,2
10,0.005230,4
20,0.006867,4
40,0.010421,4
60,0.012429,4
80,0.015008,4
100,0.017198,4
200,0.024055,4
400,0.032831,4
600,0.043045,4
800,0.048170,4
1000,0.054801,4
2000,0.085849,4
4000,0.141550,4
6000,0.189510,4
8000,0.233140,4
10000,0.273880,4
20000,0.462260,4
40000,0.795810,4
10,0.010371,8
20,0.012670,8
40,0.019956,8
60,0.024181,8
80,0.035116,8
100,0.041575,8
200,0.063057,8
400,0.077863,8
600,0.104190,8
800,0.116780,8
1000,0.131690,8
2000,0.208110,8
4000,0.315830,8
6000,0.401310,8
8000,0.494900,8
10000,0.563820,8
20000,0.865770,8
40000,1.395500,8
10,0.023190,16
20,0.031148,16
40,0.045612,16
60,0.057254,16
80,0.077030,16
100,0.091063,16
200,0.148490,16
400,0.224670,16
600,0.281670,16
800,0.322680,16
1000,0.357210,16
2000,0.550910,16
4000,0.938100,16
6000,1.267400,16
8000,1.626700,16
10000,1.970200,16
20000,3.356900,16
40000,5.730300,16
