size,time,threads
10,0.000172,1
20,0.000293,1
40,0.000588,1
60,0.000831,1
80,0.001120,1
100,0.001354,1
200,0.002648,1
400,0.005228,1
600,0.007755,1
800,0.010301,1
1000,0.012770,1
2000,0.025202,1
4000,0.050618,1
6000,0.075921,1
8000,0.100560,1
10000,0.126950,1
20000,0.252890,1
40000,0.503440,1
10,0.003764,2
20,0.004515,2
40,0.006674,2
60,0.008119,2
80,0.009189,2
100,0.009345,2
200,0.012640,2
400,0.016736,2
600,0.023177,2
800,0.025710,2
1000,0.026780,2
2000,0.044790,2
4000,0.073559,2
6000,0.119940,2
8000,0.130960,2
10000,0.179450,2
20000,0.339120,2
40000,0.556380,2
10,0.004294,4
20,0.005687,4
40,0.008554,4
60,0.009940,4
80,0.012083,4
100,0.012675,4
200,0.016838,4
400,0.022619,4
600,0.028164,4
800,0.029979,4
1000,0.032114,4
2000,0.057100,4
4000,0.098353,4
6000,0.143400,4
8000,0.157230,4
10000,0.209160,4
20000,0.321550,4
40000,0.518690,4
10,0.008988,8
20,0.011097,8
40,0.016066,8
60,0.024068,8
80,0.025881,8
100,0.032724,8
200,0.047025,8
400,0.061447,8
600,0.067561,8
800,0.073102,8
1000,0.079695,8
2000,0.123630,8
4000,0.185320,8
6000,0.260500,8
8000,0.282210,8
10000,0.354640,8
20000,0.508170,8
40000,0.762130,8
10,0.020294,16
20,0.026866,16
40,0.038019,16
60,0.048274,16
80,0.059312,16
100,0.068058,16
200,0.107810,16
400,0.149590,16
600,0.185370,16
800,0.210900,16
1000,0.233300,16
2000,0.379550,16
4000,0.626540,16
6000,0.900070,16
8000,0.994050,16
10000,1.329200,16
20000,1.959200,16
40000,2.792700,16
