size,time,threads
10,0.000391,1
20,0.000684,1
40,0.000962,1
60,0.001552,1
80,0.001943,1
100,0.002237,1
200,0.004292,1
400,0.008430,1
600,0.012542,1
800,0.016350,1
1000,0.020478,1
2000,0.041640,1
4000,0.083017,1
6000,0.124810,1
8000,0.166300,1
10000,0.207880,1
20000,0.415700,1
40000,0.842110,1
10,0.005528,2
20,0.007275,2
40,0.010237,2
60,0.012888,2
80,0.014355,2
100,0.016104,2
200,0.021986,2
400,0.031835,2
600,0.039521,2
800,0.049085,2
1000,0.057817,2
2000,0.105470,2
4000,0.194720,2
6000,0.284330,2
8000,0.372970,2
10000,0.463730,2
20000,0.911270,2
40000,1.849300,2
10,0.005885,4
20,0.008100,4
40,0.012378,4
60,0.015204,4
80,0.017832,4
100,0.019812,4
200,0.028042,4
400,0.037714,4
600,0.047630,4
800,0.054908,4
1000,0.061437,4
2000,0.103940,4
4000,0.190410,4
6000,0.289600,4
8000,0.384740,4
10000,0.475190,4
20000,0.933170,4
40000,1.796700,4
10,0.010739,8
20,0.014633,8
40,0.023164,8
60,0.030088,8
80,0.039652,8
100,0.049111,8
200,0.066408,8
400,0.093219,8
600,0.114650,8
800,0.130690,8
1000,0.146860,8
2000,0.226930,8
4000,0.386280,8
6000,0.510210,8
8000,0.638210,8
10000,0.760460,8
20000,1.379900,8
40000,2.515200,8
10,0.025215,16
20,0.034677,16
40,0.054282,16
60,0.068120,16
80,0.089623,16
100,0.104850,16
200,0.170030,16
400,0.265240,16
600,0.325950,16
800,0.377090,16
1000,0.423700,16
2000,0.647220,16
4000,1.124400,16
6000,1.428300,16
8000,1.824600,16
10000,2.143600,16
20000,3.841300,16
40000,6.725300,16
