size,time,threads
10,0.000390,1
20,0.000684,1
40,0.000963,1
60,0.001552,1
80,0.001941,1
100,0.002232,1
200,0.004303,1
400,0.008420,1
600,0.012549,1
800,0.016346,1
1000,0.020489,1
2000,0.041651,1
4000,0.083065,1
6000,0.124750,1
8000,0.166190,1
10000,0.208090,1
20000,0.415840,1
40000,0.843100,1
10,0.005211,2
20,0.006672,2
40,0.009117,2
60,0.011050,2
80,0.014022,2
100,0.015223,2
200,0.021956,2
400,0.032649,2
600,0.044456,2
800,0.052717,2
1000,0.062145,2
2000,0.097815,2
4000,0.141600,2
6000,0.200700,2
8000,0.245240,2
10000,0.294600,2
20000,0.514060,2
40000,0.886180,2
10,0.005478,4
20,0.007391,4
40,0.011269,4
60,0.013373,4
80,0.017110,4
100,0.019467,4
200,0.027743,4
400,0.038523,4
600,0.050907,4
800,0.058213,4
1000,0.067504,4
2000,0.105940,4
4000,0.166820,4
6000,0.218710,4
8000,0.257270,4
10000,0.305330,4
20000,0.482200,4
40000,0.794070,4
10,0.010760,8
20,0.015122,8
40,0.024818,8
60,0.029203,8
80,0.035675,8
100,0.043645,8
200,0.068430,8
400,0.087806,8
600,0.116820,8
800,0.140310,8
1000,0.156180,8
2000,0.232000,8
4000,0.364080,8
6000,0.456020,8
8000,0.520460,8
10000,0.622180,8
20000,0.882040,8
40000,1.342700,8
10,0.024135,16
20,0.032552,16
40,0.050332,16
60,0.063323,16
80,0.085410,16
100,0.098849,16
200,0.170000,16
400,0.265740,16
600,0.327750,16
800,0.371520,16
1000,0.419130,16
2000,0.665950,16
4000,1.061200,16
6000,1.455200,16
8000,1.770900,16
10000,2.149600,16
20000,3.552700,16
40000,5.652800,16
