10,0.000435
20,0.001012
40,0.002405
60,0.003614
80,0.004679
100,0.006086
200,0.012552
400,0.025220
600,0.037840
800,0.051191
1000,0.064197
2000,0.129750
4000,0.263880
6000,0.399680
8000,0.539150
10000,0.676390
20000,1.373100
